feature,importance
area_m2,0.2629455221163531
district_ppm2_median,0.16587738888270256
property_type_enc,0.1533879395060265
ratio_surface_chambres,0.09757742176941048
bathrooms,0.08691372959763491
bedrooms,0.07060477902430062
city_price_median,0.058866712121323904
city_ppm2_median,0.028144313483900927
price_per_m2_city,0.02620169665261491
city_area_median,0.020975932100159002
district_enc,0.015112524863093665
city_count,0.0072697892932877504
city_enc,0.006122250589191829
