city_enc,district_enc,property_type_enc,area_m2,bedrooms,bathrooms,city_price_median,city_ppm2_median,city_area_median,district_ppm2_median,city_count,ratio_surface_chambres,price_per_m2_city,price_mad,city,district,area_m2,bedrooms,bathrooms,price_mad,latitude,longitude,url
154,371,0,40.0,1.0,1.0,1450000.0,17757.009345794395,83.0,23369.25287356322,1997,40.0,17469.87951807229,1550000.0,marrakech,route amizmiz,40.0,1.0,1.0,1550000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/a/8072808/%C3%A9l%C3%A9gant-f2-meubl%C3%A9-vue-atlas-%C3%A0-noria
154,183,0,47.0,1.0,1.0,1450000.0,17757.009345794395,83.0,19444.444444444445,1997,47.0,17469.87951807229,1500000.0,marrakech,guéliz,47.0,1.0,1.0,1500000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/a/8223786/superbe-studio-f2-meubl%C3%A9-en-plein-centre
154,386,0,85.0,2.0,2.0,1450000.0,17757.009345794395,83.0,13793.103448275862,1997,42.5,17469.87951807229,1500000.0,marrakech,route de safi,85.0,2.0,2.0,1500000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/a/8313773/belle-appartement-a-jnane-awerade-meubl%C3%A9e
154,183,0,134.0,3.0,2.0,1450000.0,17757.009345794395,83.0,19444.444444444445,1997,44.666666666666664,17469.87951807229,2345000.0,marrakech,guéliz,134.0,3.0,2.0,2345000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/a/8239377/appartement-%C3%A0-vendre
154,126,0,91.0,3.0,2.0,1450000.0,17757.009345794395,83.0,19222.7465785748,1997,30.333333333333332,17469.87951807229,1750000.0,marrakech,camp al ghoul,91.0,3.0,2.0,1750000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/a/8325864/joli-appartement-%C3%A0-vendre
154,183,0,105.0,2.0,1.0,1450000.0,17757.009345794395,83.0,19444.444444444445,1997,52.5,17469.87951807229,1850000.0,marrakech,guéliz,105.0,2.0,1.0,1850000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/a/8331792/tr%C3%A8s-bel-appartement-%C3%A0-vendre-%C3%A0-gu%C3%A9liz
154,400,0,109.0,2.0,1.0,1450000.0,17757.009345794395,83.0,17216.494845360827,1997,54.5,17469.87951807229,1450000.0,marrakech,samlalia,109.0,2.0,1.0,1450000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/a/8329003/bel-appartement-vide-%C3%A0-vendre-%C3%A0-semlalia-marrakech
154,372,0,106.0,1.0,1.0,1450000.0,17757.009345794395,83.0,15753.424657534246,1997,106.0,17469.87951807229,1500000.0,marrakech,route casablanca,106.0,1.0,1.0,1500000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/a/8328588/affaire-%C3%A0-saisir-appartement-meubl%C3%A9-avec-terrasse
154,126,0,117.0,2.0,1.0,1450000.0,17757.009345794395,83.0,19222.7465785748,1997,58.5,17469.87951807229,1800000.0,marrakech,camp al ghoul,117.0,2.0,1.0,1800000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/a/8306713/appartement-%C3%A0-vendre-%C3%A0-camp-el-ghoul-4-pi%C3%A8ces-ascenseur-et-parking
154,15,0,92.0,2.0,2.0,1450000.0,17757.009345794395,83.0,25000.0,1997,46.0,17469.87951807229,1950000.0,marrakech,agdal,92.0,2.0,2.0,1950000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/a/8283929/appartement-%C3%A0-vendre-coralia-les-orangers
154,289,0,120.0,2.0,2.0,1450000.0,17757.009345794395,83.0,17999.999999999996,1997,60.0,17469.87951807229,1700000.0,marrakech,majorelle,120.0,2.0,2.0,1700000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/a/8275899/a-vendre-appartement-duplex-centre-ville-gueliz
154,183,0,90.0,2.0,1.0,1450000.0,17757.009345794395,83.0,19444.444444444445,1997,45.0,17469.87951807229,1790000.0,marrakech,guéliz,90.0,2.0,1.0,1790000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/a/8207025/appartement-meubl%C3%A9-grande-terrasse-%C3%A0-gueliz
154,245,0,45.0,1.0,1.0,1450000.0,17757.009345794395,83.0,24000.0,1997,45.0,17469.87951807229,1080000.0,marrakech,hivernage,45.0,1.0,1.0,1080000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/a/8203192/studio-et-duplex-%C3%A0-l-hivernage-avec-piscine
154,183,0,49.0,1.0,2.0,1450000.0,17757.009345794395,83.0,19444.444444444445,1997,49.0,17469.87951807229,1029000.0,marrakech,guéliz,49.0,1.0,2.0,1029000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/pa/8312065/appartement-%C3%A0-l-achat-%C3%A0-gu%C3%A9liz-surface-totale-49-m%C2%B2
154,308,0,64.0,2.0,2.0,1450000.0,17757.009345794395,83.0,8032.264162077104,1997,32.0,17469.87951807229,576000.0,marrakech,mhamid,64.0,2.0,2.0,576000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/pa/8304904/vente-d-un-bel-appartement-%C3%A0-mhamid-3-belles-chambres
154,289,0,57.0,1.0,2.0,1450000.0,17757.009345794395,83.0,17999.999999999996,1997,57.0,17469.87951807229,1026000.0,marrakech,majorelle,57.0,1.0,2.0,1026000.0,31.6295,-7.9811,https://www.mubawab.ma/fr/pa/8268253/appartement-en-vente-%C3%A0-majorelle-surface-de-57-m%C2%B2
